track_name,album,track_number,artist,record_id
Lavender's Blue ,"Zoom, Zoom Cuddle and Croon",27.0,Kathy Reid-Naiman,255
Le chien dans l'ecole,Savez-vous planter des choux?,,Kathy Reid-Naiman,542
Le chien de ma tante,Ça suffit pour s'amuser,,Kathy Reid-Naiman,558
Le jardin,Savez-vous planter des choux?,,Kathy Reid-Naiman,533
Leg over leg,More Tickles and Tunes,18.0,Kathy Reid-Naiman,54
Les biscuits,Ça suffit pour s'amuser,,Kathy Reid-Naiman,552
Les petits lapins,Savez-vous planter des choux?,,Kathy Reid-Naiman,525
Les étoiles filent dans le ciel,Savez-vous planter des choux?,,Kathy Reid-Naiman,532
Let's Take a Ride in the Country,Welcome Summer,4.0,Kathy Reid-Naiman,367
Listen and Learn,Welcome Summer,12.0,Kathy Reid-Naiman,375
Listen to the Water,More Tickles and Tunes,17.0,Kathy Reid-Naiman,53
Little Brass Wagon,More Tickles and Tunes,9.0,Kathy Reid-Naiman,45
Little Johnny Brown,Here We Go Zodeo,6.0,Kathy Reid-Naiman,439
Little Lap Dog ,On My Way to Dreamland,7.0,Kathy Reid-Naiman,141
Little Robin Red Breast,Spring is Coming,12.0,Kathy Reid-Naiman,394
London Hill,More Tickles and Tunes,29.0,Kathy Reid-Naiman,65
Love Grows,Reaching for the Stars,4.0,Kathy Reid-Naiman,157
"Lullaby, Lullaby",A Smooth Road to London Town,20.0,Kathy Reid-Naiman,127
Maggie's in the Weeds,Welcome Summer,11.0,Kathy Reid-Naiman,374
Maloney the Pony,Reaching for the Stars,9.0,Kathy Reid-Naiman,162
Maloney the Pony,"Zoom, Zoom Cuddle and Croon",20.0,Kathy Reid-Naiman,248
Mama's Little Baby loves Shortenin' Bread,Sally Go Round the Sun,31.0,Kathy Reid-Naiman,209
Mama's Sleeping,Spring is Coming,18.0,Kathy Reid-Naiman,400
"Maman , Papa et Oncle Simon",Savez-vous planter des choux?,,Kathy Reid-Naiman,526
Maman fait dodo,Savez-vous planter des choux?,,Kathy Reid-Naiman,537
Marjorie Mutton Pie,Tickles and Tunes,2.0,Kathy Reid-Naiman,2
Mary wore her red dress ,Tickles and Tunes,3.0,Kathy Reid-Naiman,3
May There Always Be Sunshine,Sally Go Round the Moon,1.0,Kathy Reid-Naiman,212
May we Soar Like Eagles,I love to Hear the Sounds,19.0,Kathy Reid-Naiman,302
Meunier tu dors,Savez-vous planter des choux?,,Kathy Reid-Naiman,527
Mice Rhymes,,3.0,Kathy Reid-Naiman,502
Mice Rhymes,Baby's Boat,3.0,Kathy Reid-Naiman,312
Mice Rhymes,Timeless Tickles and Tunes,3.0,Kathy Reid-Naiman,457
Michaud,It's a Beautiful Day,13 ,Kathy Reid-Naiman,431
Michaud,It's a Beautiful Day,13 ,Kathy Reid-Naiman,497
Michaud,Ça suffit pour s'amuser,,Kathy Reid-Naiman,550
Miss Polly,More Tickles and Tunes,27.0,Kathy Reid-Naiman,63
Mister Moon / The Cuckoo ,On My Way to Dreamland,3.0,Kathy Reid-Naiman,137
Mister Moon / The Cuckoo ,"Zoom, Zoom Cuddle and Croon",18.0,Kathy Reid-Naiman,246
Mix the Bannock,Sally Go Round the Sun,30.0,Kathy Reid-Naiman,208
Mon petit lapin a bien du chagrin,It's a Beautiful Day,3.0,Kathy Reid-Naiman,415
Mon petit lapin a bien du chagrin,It's a Beautiful Day,3.0,Kathy Reid-Naiman,481
Mon petit lapin a bien du chagrin,Ça suffit pour s'amuser,,Kathy Reid-Naiman,556
Monday Night the Banjo,Sally Go Round the Sun,6.0,Kathy Reid-Naiman,184
Morningtown Ride,Say Hello to the Morning,18.0,Kathy Reid-Naiman,90
Mosquitos,Spring is Coming,25.0,Kathy Reid-Naiman,407
Mother and Father and Uncle John,"Zoom, Zoom Cuddle and Croon",10.0,Kathy Reid-Naiman,238
Motorcycle Ride,,4.0,Kathy Reid-Naiman,503
Motorcycle Ride,Baby's Boat,4.0,Kathy Reid-Naiman,313
Motorcycle Ride,Timeless Tickles and Tunes,4.0,Kathy Reid-Naiman,458
Motorcycle Ride,Welcome Summer,3.0,Kathy Reid-Naiman,366
Mr Moon,Sally Go Round the Moon,6.0,Kathy Reid-Naiman,217
Mr. Rabbit,Sally Go Round the Sun,13.0,Kathy Reid-Naiman,191
Mr. Sun,Spring is Coming,2.0,Kathy Reid-Naiman,384
My Bonnie Lies Over the Ocean,Sally Go Round the Moon,2.0,Kathy Reid-Naiman,213
My Little Dog,Welcome Summer,10.0,Kathy Reid-Naiman,373
My Pigeon Coop ,On My Way to Dreamland,5.0,Kathy Reid-Naiman,139
My Pony Boy ,Say Hello to the Morning,6.0,Kathy Reid-Naiman,77
"Nage, nage, nage",Savez-vous planter des choux?,,Kathy Reid-Naiman,530
Nelly go cross,More Tickles and Tunes,1.0,Kathy Reid-Naiman,37
Och A Na Knee,Say Hello to the Morning,28.0,Kathy Reid-Naiman,100
Oh Children Ring Your Bells,I love to Hear the Sounds,11.0,Kathy Reid-Naiman,294
Old Bald Eagle,Here We Go Zodeo,15.0,Kathy Reid-Naiman,448
Old MacDonald's band,I love to Hear the Sounds,21.0,Kathy Reid-Naiman,304
Old Roger,Here We Go Zodeo,17.0,Kathy Reid-Naiman,450
On my Toe there is a flea,More Tickles and Tunes,24.0,Kathy Reid-Naiman,60
On My Way To Dreamland ,Baby's Boat,29.0,Kathy Reid-Naiman,338
On My Way To Dreamland ,On My Way to Dreamland,4.0,Kathy Reid-Naiman,138
One Button Two Buttons,Sally Go Round the Sun,14.0,Kathy Reid-Naiman,192
One Cold and Frosty Morning,Say Hello to the Morning,22.0,Kathy Reid-Naiman,94
Open Shut Them / I have 10 little fingers,More Tickles and Tunes,4.0,Kathy Reid-Naiman,40
Our Turkey Ran Away,Sing the Cold Winter Away,8.0,Kathy Reid-Naiman,264
Over in the Meadow,"Zoom, Zoom Cuddle and Croon",4.0,Kathy Reid-Naiman,232
Owl Moon,When Its Autumn,8.0,Kathy Reid-Naiman,347
Pace Goes the Lady,Sally Go Round the Sun,19.0,Kathy Reid-Naiman,197
Palm Tickles ,Tickles and Tunes,8.0,Kathy Reid-Naiman,8
Pat-a-cake,Spring is Coming,16.0,Kathy Reid-Naiman,398
Paw Paw Patch,Here We Go Zodeo,4.0,Kathy Reid-Naiman,437
"Peck, peck, peck goes the little red hen,",Sally Go Round the Sun,27.0,Kathy Reid-Naiman,205
Petit poisson,Savez-vous planter des choux?,,Kathy Reid-Naiman,543
Phoebe,Welcome Summer,5.0,Kathy Reid-Naiman,368
Picking Berries,Welcome Summer,15.0,Kathy Reid-Naiman,378
Picking buttercups,Reaching for the Stars,13.0,Kathy Reid-Naiman,166
Plum pudding,Sing the Cold Winter Away,7.0,Kathy Reid-Naiman,263
Pomme de reinette,Savez-vous planter des choux?,,Kathy Reid-Naiman,538
Pony Rides,Baby's Boat,25.0,Kathy Reid-Naiman,334
Poor Little Sandy Girl,Spring is Coming,26.0,Kathy Reid-Naiman,408
Prairie Lullaby,A Smooth Road to London Town,18.0,Kathy Reid-Naiman,125
Pretty Painted butterfly,A Smooth Road to London Town,7.0,Kathy Reid-Naiman,114
Princess,Here We Go Zodeo,10.0,Kathy Reid-Naiman,443
Pterodactyl Song,,11.0,Kathy Reid-Naiman,510
Pterodactyl Song,Baby's Boat,11.0,Kathy Reid-Naiman,320
Pterodactyl Song,Timeless Tickles and Tunes,11.0,Kathy Reid-Naiman,465
Pterodactyl Song ,Tickles and Tunes,20.0,Kathy Reid-Naiman,20
Puddles,Spring is Coming,20.0,Kathy Reid-Naiman,402
Pussy Willow,Spring is Coming,6.0,Kathy Reid-Naiman,388
Put on My Dancing Shoes,I love to Hear the Sounds,25.0,Kathy Reid-Naiman,308
Put one foot in front of the other,Sally Go Round the Sun,17.0,Kathy Reid-Naiman,195
Put your Shoes on Lucy,A Smooth Road to London Town,4.0,Kathy Reid-Naiman,111
Rags the Dog,A Smooth Road to London Town,13.0,Kathy Reid-Naiman,120
Raise Up Your Tiny Windows,,12.0,Kathy Reid-Naiman,511
Raise Up Your Tiny Windows,Baby's Boat,12.0,Kathy Reid-Naiman,321
Raise Up Your Tiny Windows,Timeless Tickles and Tunes,12.0,Kathy Reid-Naiman,466
Raise Up Your Tiny Windows (Miss Sue),Here We Go Zodeo,3.0,Kathy Reid-Naiman,436
Razzama Tazzama,More Tickles and Tunes,5.0,Kathy Reid-Naiman,41
Reaching for the Stars,Reaching for the Stars,10.0,Kathy Reid-Naiman,163
reindeer,Sing the Cold Winter Away,18.0,Kathy Reid-Naiman,274
Ride a Cock Horse,I love to Hear the Sounds,13.0,Kathy Reid-Naiman,296
Ride a Cock Horse/This is the Way,More Tickles and Tunes,20.0,Kathy Reid-Naiman,56
