row_num|song_id|song_name|suggested_cu|issue_type|issue_detail|relevance|rationale
62|224|Goes to Sleep|CU#126|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies can be used as a go-to calming strategy during transitions or stress...'|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
63|224|Goes to Sleep|CU#259|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Soothing melodies help children self-regulate and manage stress...'|secondary|Soothing melodies help children self-regulate and manage stress
64|338|On My Way To Dreamland|CU#124|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullaby rhythm naturally supports paced breathing and calming self-regulation...'|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
65|338|On My Way To Dreamland|CU#125|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies promote body relaxation and present-moment awareness...'|primary|Lullabies promote body relaxation and present-moment awareness
66|338|On My Way To Dreamland|CU#126|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies can be used as a go-to calming strategy during transitions or stress...'|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
67|338|On My Way To Dreamland|CU#259|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Soothing melodies help children self-regulate and manage stress...'|secondary|Soothing melodies help children self-regulate and manage stress
68|409|Ako Si Legla Spat|CU#124|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullaby rhythm naturally supports paced breathing and calming self-regulation...'|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
69|409|Ako Si Legla Spat|CU#125|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies promote body relaxation and present-moment awareness...'|primary|Lullabies promote body relaxation and present-moment awareness
70|409|Ako Si Legla Spat|CU#126|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies can be used as a go-to calming strategy during transitions or stress...'|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
71|409|Ako Si Legla Spat|CU#259|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Soothing melodies help children self-regulate and manage stress...'|secondary|Soothing melodies help children self-regulate and manage stress
72|412|Thula|CU#124|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullaby rhythm naturally supports paced breathing and calming self-regulation...'|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
73|412|Thula|CU#125|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies promote body relaxation and present-moment awareness...'|primary|Lullabies promote body relaxation and present-moment awareness
74|412|Thula|CU#126|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies can be used as a go-to calming strategy during transitions or stress...'|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
75|412|Thula|CU#259|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Soothing melodies help children self-regulate and manage stress...'|secondary|Soothing melodies help children self-regulate and manage stress
76|429|Sweet and Low|CU#124|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullaby rhythm naturally supports paced breathing and calming self-regulation...'|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
77|429|Sweet and Low|CU#125|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies promote body relaxation and present-moment awareness...'|primary|Lullabies promote body relaxation and present-moment awareness
78|429|Sweet and Low|CU#126|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies can be used as a go-to calming strategy during transitions or stress...'|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
79|429|Sweet and Low|CU#259|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Soothing melodies help children self-regulate and manage stress...'|secondary|Soothing melodies help children self-regulate and manage stress
80|495|Sweet and Low|CU#124|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullaby rhythm naturally supports paced breathing and calming self-regulation...'|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
81|495|Sweet and Low|CU#125|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies promote body relaxation and present-moment awareness...'|primary|Lullabies promote body relaxation and present-moment awareness
82|495|Sweet and Low|CU#126|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies can be used as a go-to calming strategy during transitions or stress...'|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
83|495|Sweet and Low|CU#259|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Soothing melodies help children self-regulate and manage stress...'|secondary|Soothing melodies help children self-regulate and manage stress
84|528|Fais do do|CU#124|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullaby rhythm naturally supports paced breathing and calming self-regulation...'|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
85|528|Fais do do|CU#125|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies promote body relaxation and present-moment awareness...'|primary|Lullabies promote body relaxation and present-moment awareness
86|528|Fais do do|CU#126|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies can be used as a go-to calming strategy during transitions or stress...'|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
87|528|Fais do do|CU#259|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Soothing melodies help children self-regulate and manage stress...'|secondary|Soothing melodies help children self-regulate and manage stress
88|410|Close your eyes and Dream|CU#124|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullaby rhythm naturally supports paced breathing and calming self-regulation...'|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
89|410|Close your eyes and Dream|CU#125|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies promote body relaxation and present-moment awareness...'|primary|Lullabies promote body relaxation and present-moment awareness
90|410|Close your eyes and Dream|CU#126|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies can be used as a go-to calming strategy during transitions or stress...'|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
91|410|Close your eyes and Dream|CU#259|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Soothing melodies help children self-regulate and manage stress...'|secondary|Soothing melodies help children self-regulate and manage stress
93|151|Sweet Kentucky Babe|CU#124|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullaby rhythm naturally supports paced breathing and calming self-regulation...'|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
94|151|Sweet Kentucky Babe|CU#125|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies promote body relaxation and present-moment awareness...'|primary|Lullabies promote body relaxation and present-moment awareness
95|151|Sweet Kentucky Babe|CU#126|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies can be used as a go-to calming strategy during transitions or stress...'|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
96|151|Sweet Kentucky Babe|CU#259|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Soothing melodies help children self-regulate and manage stress...'|secondary|Soothing melodies help children self-regulate and manage stress
97|124|Hush Little Baby|CU#124|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullaby rhythm naturally supports paced breathing and calming self-regulation...'|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
98|124|Hush Little Baby|CU#125|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies promote body relaxation and present-moment awareness...'|primary|Lullabies promote body relaxation and present-moment awareness
99|124|Hush Little Baby|CU#126|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies can be used as a go-to calming strategy during transitions or stress...'|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
100|124|Hush Little Baby|CU#259|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Soothing melodies help children self-regulate and manage stress...'|secondary|Soothing melodies help children self-regulate and manage stress
102|128|Rock a Bye Baby / Sleep Baby Sleep|CU#124|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullaby rhythm naturally supports paced breathing and calming self-regulation...'|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
103|128|Rock a Bye Baby / Sleep Baby Sleep|CU#125|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies promote body relaxation and present-moment awareness...'|primary|Lullabies promote body relaxation and present-moment awareness
104|128|Rock a Bye Baby / Sleep Baby Sleep|CU#126|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies can be used as a go-to calming strategy during transitions or stress...'|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
105|128|Rock a Bye Baby / Sleep Baby Sleep|CU#259|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Soothing melodies help children self-regulate and manage stress...'|secondary|Soothing melodies help children self-regulate and manage stress
107|146|Bye O Baby Bye|CU#124|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullaby rhythm naturally supports paced breathing and calming self-regulation...'|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
108|146|Bye O Baby Bye|CU#125|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies promote body relaxation and present-moment awareness...'|primary|Lullabies promote body relaxation and present-moment awareness
109|146|Bye O Baby Bye|CU#126|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies can be used as a go-to calming strategy during transitions or stress...'|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
110|146|Bye O Baby Bye|CU#259|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Soothing melodies help children self-regulate and manage stress...'|secondary|Soothing melodies help children self-regulate and manage stress
112|150|Bye Baby Bye|CU#124|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullaby rhythm naturally supports paced breathing and calming self-regulation...'|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
113|150|Bye Baby Bye|CU#125|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies promote body relaxation and present-moment awareness...'|primary|Lullabies promote body relaxation and present-moment awareness
114|150|Bye Baby Bye|CU#126|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies can be used as a go-to calming strategy during transitions or stress...'|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
115|150|Bye Baby Bye|CU#259|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Soothing melodies help children self-regulate and manage stress...'|secondary|Soothing melodies help children self-regulate and manage stress
117|226|Sleep small baby sleep|CU#124|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullaby rhythm naturally supports paced breathing and calming self-regulation...'|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
118|226|Sleep small baby sleep|CU#125|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies promote body relaxation and present-moment awareness...'|primary|Lullabies promote body relaxation and present-moment awareness
119|226|Sleep small baby sleep|CU#126|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies can be used as a go-to calming strategy during transitions or stress...'|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
120|226|Sleep small baby sleep|CU#259|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Soothing melodies help children self-regulate and manage stress...'|secondary|Soothing melodies help children self-regulate and manage stress
122|254|Hush Little Baby|CU#124|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullaby rhythm naturally supports paced breathing and calming self-regulation...'|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
123|254|Hush Little Baby|CU#125|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies promote body relaxation and present-moment awareness...'|primary|Lullabies promote body relaxation and present-moment awareness
124|254|Hush Little Baby|CU#126|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies can be used as a go-to calming strategy during transitions or stress...'|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
125|254|Hush Little Baby|CU#259|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Soothing melodies help children self-regulate and manage stress...'|secondary|Soothing melodies help children self-regulate and manage stress
127|399|Here is my baby ready for her nap|CU#124|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullaby rhythm naturally supports paced breathing and calming self-regulation...'|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
128|399|Here is my baby ready for her nap|CU#125|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies promote body relaxation and present-moment awareness...'|primary|Lullabies promote body relaxation and present-moment awareness
129|399|Here is my baby ready for her nap|CU#126|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies can be used as a go-to calming strategy during transitions or stress...'|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
130|399|Here is my baby ready for her nap|CU#259|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Soothing melodies help children self-regulate and manage stress...'|secondary|Soothing melodies help children self-regulate and manage stress
134|411|Tomorrow's Just a Dream Away|CU#124|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullaby rhythm naturally supports paced breathing and calming self-regulation...'|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
135|411|Tomorrow's Just a Dream Away|CU#125|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies promote body relaxation and present-moment awareness...'|primary|Lullabies promote body relaxation and present-moment awareness
136|411|Tomorrow's Just a Dream Away|CU#126|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies can be used as a go-to calming strategy during transitions or stress...'|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
137|411|Tomorrow's Just a Dream Away|CU#259|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Soothing melodies help children self-regulate and manage stress...'|secondary|Soothing melodies help children self-regulate and manage stress
140|184|Monday Night the Banjo|CU#124|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullaby rhythm naturally supports paced breathing and calming self-regulation...'|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
141|184|Monday Night the Banjo|CU#125|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies promote body relaxation and present-moment awareness...'|primary|Lullabies promote body relaxation and present-moment awareness
142|184|Monday Night the Banjo|CU#126|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies can be used as a go-to calming strategy during transitions or stress...'|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
143|184|Monday Night the Banjo|CU#259|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Soothing melodies help children self-regulate and manage stress...'|secondary|Soothing melodies help children self-regulate and manage stress
144|136|Douglas Mountain|CU#124|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullaby rhythm naturally supports paced breathing and calming self-regulation...'|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
145|136|Douglas Mountain|CU#125|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies promote body relaxation and present-moment awareness...'|primary|Lullabies promote body relaxation and present-moment awareness
146|136|Douglas Mountain|CU#126|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies can be used as a go-to calming strategy during transitions or stress...'|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
147|136|Douglas Mountain|CU#259|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Soothing melodies help children self-regulate and manage stress...'|secondary|Soothing melodies help children self-regulate and manage stress
148|255|Lavender's Blue|CU#124|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullaby rhythm naturally supports paced breathing and calming self-regulation...'|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
149|255|Lavender's Blue|CU#125|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies promote body relaxation and present-moment awareness...'|primary|Lullabies promote body relaxation and present-moment awareness
150|255|Lavender's Blue|CU#126|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies can be used as a go-to calming strategy during transitions or stress...'|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
151|255|Lavender's Blue|CU#259|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Soothing melodies help children self-regulate and manage stress...'|secondary|Soothing melodies help children self-regulate and manage stress
152|149|Catch A Falling Star|CU#124|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullaby rhythm naturally supports paced breathing and calming self-regulation...'|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
153|149|Catch A Falling Star|CU#125|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies promote body relaxation and present-moment awareness...'|primary|Lullabies promote body relaxation and present-moment awareness
