issue_id|song_id|song_name|suggested_cu_id|issue_type|description|fix_action
80|165|Hello Rain|CU#226|UNDERLINKED|3 themes but only 3 CU(s)|Add more mappings for uncovered themes
81|165|Hello Rain|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
82|165|Hello Rain|CU#256|UNDERLINKED|3 themes but only 3 CU(s)|Add more mappings for uncovered themes
83|165|Hello Rain|CU#257|UNDERLINKED|3 themes but only 3 CU(s)|Add more mappings for uncovered themes
84|166|Picking buttercups|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
85|167|I Went Down into the Barnyard|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
86|168|Ducks in the Millpond|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
87|168|Ducks in the Millpond|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
88|169|The Pie Song|CU#210|UNDERLINKED|3 themes but only 3 CU(s)|Add more mappings for uncovered themes
89|169|The Pie Song|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
90|169|The Pie Song|CU#221|UNDERLINKED|3 themes but only 3 CU(s)|Add more mappings for uncovered themes
91|169|The Pie Song|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
92|169|The Pie Song|CU#240|UNDERLINKED|3 themes but only 3 CU(s)|Add more mappings for uncovered themes
93|171|Walk Horsey Walk|CU#218|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#218|Add song-specific details
94|171|Walk Horsey Walk|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
95|171|Walk Horsey Walk|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
96|171|Walk Horsey Walk|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
97|172|Here is the Boat|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
98|173|There was a Little Boat|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
99|174|The Little Cat|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
100|175|Shake it to the east|CU#218|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#218|Add song-specific details
101|175|Shake it to the east|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
102|175|Shake it to the east|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
103|177|Tom Thumb|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
104|177|Tom Thumb|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
105|177|Tom Thumb|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
106|183|Dance to your Daddy|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
107|183|Dance to your Daddy|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
108|184|Monday Night the Banjo|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
109|184|Monday Night the Banjo|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
110|186|The Baby Bear Waltz|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
111|187|Everybody knows I love my toes|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
112|187|Everybody knows I love my toes|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
113|187|Everybody knows I love my toes|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
114|188|Tommy Thumb|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
115|188|Tommy Thumb|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
116|190|Here goes the rabbit,|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
117|190|Here goes the rabbit,|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
118|191|Mr. Rabbit|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
119|191|Mr. Rabbit|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
120|195|Put one foot in front of the other|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
121|195|Put one foot in front of the other|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
122|195|Put one foot in front of the other|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
123|201|Baby Shark|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
124|202|Walk Through the Farmyard|CU#218|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#218|Add song-specific details
125|202|Walk Through the Farmyard|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
126|202|Walk Through the Farmyard|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
127|203|Grampa's farm rhyme|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
128|204|Down on Grampa's farm|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
129|205|Peck, peck, peck goes the little red hen,|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
130|206|Shoo Fly|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
131|213|My Bonnie Lies Over the Ocean|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
132|230|Ducks on the Pond|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
133|230|Ducks on the Pond|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
134|231|Round and Round the Garden / Knock at the Door|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
135|231|Round and Round the Garden / Knock at the Door|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
136|231|Round and Round the Garden / Knock at the Door|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
137|233|Slowly Garden Snail|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
138|234|Sailing Sailing Over the Ocean|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
139|235|The Little Mice Go Creeping|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
140|235|The Little Mice Go Creeping|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
141|235|The Little Mice Go Creeping|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
142|235|The Little Mice Go Creeping|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
143|235|The Little Mice Go Creeping|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
144|237|Sleeping Bunnies|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
145|237|Sleeping Bunnies|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
146|237|Sleeping Bunnies|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
147|237|Sleeping Bunnies|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
148|237|Sleeping Bunnies|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
149|239|Shoo Fly|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
150|240|I Want Someone To Buy Me A pony|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
151|240|I Want Someone To Buy Me A pony|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
152|242|She Didn't Dance, Dance, Dance|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
153|242|She Didn't Dance, Dance, Dance|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
154|243|Tumbledown Hill|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
155|243|Tumbledown Hill|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
156|243|Tumbledown Hill|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
157|244|Sugar Lamb|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
158|245|This is the Boat|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
159|246|Mister Moon / The Cuckoo|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
160|246|Mister Moon / The Cuckoo|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
161|248|Maloney the Pony|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
162|248|Maloney the Pony|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
163|250|Watch the Stars See How They Run|CU#218|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#218|Add song-specific details
164|250|Watch the Stars See How They Run|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
165|250|Watch the Stars See How They Run|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
166|257|Snow Flakes|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
167|258|Chubby Little Snowman|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
168|259|It's Going to be a Long Winter|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
169|260|Snow On the Rooftops|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
170|261|Rum Tum Tiddle|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
171|261|Rum Tum Tiddle|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
172|264|Our Turkey Ran Away|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
173|267|Big Belly Ben|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
174|267|Big Belly Ben|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
175|267|Big Belly Ben|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
176|268|Ring, ring, ring your Bells|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
177|268|Ring, ring, ring your Bells|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
178|270|Almost Day|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
179|271|There was a Pig Went out to Dig|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
180|271|There was a Pig Went out to Dig|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
181|274|reindeer|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
182|274|reindeer|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
183|280|The Solstice Song|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
184|280|The Solstice Song|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
185|284|I love to Hear the Sounds|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
186|284|I love to Hear the Sounds|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
187|285|Aikendrum|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
188|285|Aikendrum|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
189|286|I'm tapping on my sticks|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
190|286|I'm tapping on my sticks|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
191|288|Bow Wow Wow|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
192|288|Bow Wow Wow|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
193|289|I have a little Hammer and I Tap tap tap|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
194|289|I have a little Hammer and I Tap tap tap|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
195|293|1,2,3,4, Jingle at the cottage door|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
196|293|1,2,3,4, Jingle at the cottage door|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
197|294|Oh Children Ring Your Bells|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
198|294|Oh Children Ring Your Bells|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
199|295|Ring them on the floor (Jimmy Crack Corn)|CU#210|OVERLINKED|Song has 10 CU mappings (max: 8)|Remove least-relevant CUs
200|295|Ring them on the floor (Jimmy Crack Corn)|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
201|295|Ring them on the floor (Jimmy Crack Corn)|CU#221|OVERLINKED|Song has 10 CU mappings (max: 8)|Remove least-relevant CUs
202|295|Ring them on the floor (Jimmy Crack Corn)|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
203|295|Ring them on the floor (Jimmy Crack Corn)|CU#226|OVERLINKED|Song has 10 CU mappings (max: 8)|Remove least-relevant CUs
204|295|Ring them on the floor (Jimmy Crack Corn)|CU#240|OVERLINKED|Song has 10 CU mappings (max: 8)|Remove least-relevant CUs
205|295|Ring them on the floor (Jimmy Crack Corn)|CU#248|OVERLINKED|Song has 10 CU mappings (max: 8)|Remove least-relevant CUs
206|295|Ring them on the floor (Jimmy Crack Corn)|CU#250|OVERLINKED|Song has 10 CU mappings (max: 8)|Remove least-relevant CUs
207|295|Ring them on the floor (Jimmy Crack Corn)|CU#251|OVERLINKED|Song has 10 CU mappings (max: 8)|Remove least-relevant CUs
208|295|Ring them on the floor (Jimmy Crack Corn)|CU#253|OVERLINKED|Song has 10 CU mappings (max: 8)|Remove least-relevant CUs
209|295|Ring them on the floor (Jimmy Crack Corn)|CU#255|OVERLINKED|Song has 10 CU mappings (max: 8)|Remove least-relevant CUs
210|295|Ring them on the floor (Jimmy Crack Corn)|CU#256|OVERLINKED|Song has 10 CU mappings (max: 8)|Remove least-relevant CUs
211|296|Ride a Cock Horse|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
212|296|Ride a Cock Horse|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
213|297|Bell Horses|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
214|297|Bell Horses|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
215|298|We can play on our violins|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
216|299|Shake your shakers slowly|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
217|299|Shake your shakers slowly|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
218|300|We're Going to the Market|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
219|300|We're Going to the Market|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
220|301|I am a Fine Musician|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
221|301|I am a Fine Musician|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
222|303|We're walking walking walking|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
223|303|We're walking walking walking|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
224|304|Old MacDonald's band|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
225|304|Old MacDonald's band|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
226|308|Put on My Dancing Shoes|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
227|308|Put on My Dancing Shoes|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
228|308|Put on My Dancing Shoes|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
229|309|How shall we March|CU#218|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#218|Add song-specific details
230|309|How shall we March|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
231|309|How shall we March|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
