song_id|song_name|theme|suggested_cu_id|subject|lesson_topic|relevance|teacher_rationale
45|Little Brass Wagon|Transportation|CU#226|Language & Vocabulary|Describe people, places, things, events with relevant details (Gr 1)|primary|Transportation song — practice describing vehicles and travel
55|Jack Jingle|Music & Instruments, Numbers & Counting|CU#210|Routines & Transitions|Following 2-3 step verbal directions (Gr 1-2)|secondary|Instrument song — following directions to play/move instruments
55|Jack Jingle|Music & Instruments, Numbers & Counting|CU#221|Gross Motor & Movement|Moving to rhythm and tempo (Gr 1-2)|secondary|Music song — connects to rhythm and steady beat
55|Jack Jingle|Music & Instruments, Numbers & Counting|CU#240|Science & Nature|Sound and Vibrating Materials (Gr 1)|primary|Music/instrument song — connects to how instruments make sound
58|Catch her Crow / Way up High in an Apple Tree|Animals, Nature & Plants|CU#226|Language & Vocabulary|Describe people, places, things, events with relevant details (Gr 1)|secondary|Song about animals — practice describing animals with details
58|Catch her Crow / Way up High in an Apple Tree|Animals, Nature & Plants|CU#248|Science & Nature|Plant/animal structures that help survival (Gr 1)|primary|Farm/bird song — connects to animal structures and survival
58|Catch her Crow / Way up High in an Apple Tree|Animals, Nature & Plants|CU#251|Science & Nature|Environmental Plant Needs (Gr 2)|primary|Garden/planting song — connects to what plants need to grow
58|Catch her Crow / Way up High in an Apple Tree|Animals, Nature & Plants|CU#252|Science & Nature|Seed Dispersal and Pollination (Gr 2)|secondary|Bee/bird song — connects to pollination and seed dispersal
58|Catch her Crow / Way up High in an Apple Tree|Animals, Nature & Plants|CU#253|Science & Nature|Habitats and Biodiversity (Gr 2)|secondary|Nature song — connects to habitats and biodiversity
60|On my Toe there is a flea|Body Parts|CU#219|Gross Motor & Movement|Balance and body control (static and moving) (Gr 1-2)|primary|Body parts song — connects to body awareness and control
60|On my Toe there is a flea|Body Parts|CU#221|Gross Motor & Movement|Moving to rhythm and tempo (Gr 1-2)|secondary|Body parts song — often sung with rhythmic movements
60|On my Toe there is a flea|Body Parts|CU#222|Gross Motor & Movement|Following multi-step movement directions / spatial awareness (Gr 1-2)|secondary|Body parts song — follows directions to move specific body parts
65|London Hill|Nature & Plants|CU#248|Science & Nature|Plant/animal structures that help survival (Gr 1)|secondary|Nature song — connects to plant structures
65|London Hill|Nature & Plants|CU#251|Science & Nature|Environmental Plant Needs (Gr 2)|secondary|Nature song — connects to plant needs and growth
65|London Hill|Nature & Plants|CU#253|Science & Nature|Habitats and Biodiversity (Gr 2)|secondary|Nature song — connects to habitats and biodiversity
65|London Hill|Nature & Plants|CU#257|Science & Nature|Processes that shape the Earth - wind/water changing land (Gr 2)|secondary|Landscape song — connects to Earth surface processes
68|Walk Daniel |Cultural & Folk, Dance & Movement, Water & Sea|CU#218|Gross Motor & Movement|Locomotor skills: running, jumping, hopping, skipping (Gr 1-2)|secondary|Movement song — connects to locomotor skills
68|Walk Daniel |Cultural & Folk, Dance & Movement, Water & Sea|CU#219|Gross Motor & Movement|Balance and body control (static and moving) (Gr 1-2)|secondary|Movement song — connects to body control
68|Walk Daniel |Cultural & Folk, Dance & Movement, Water & Sea|CU#222|Gross Motor & Movement|Following multi-step movement directions / spatial awareness (Gr 1-2)|secondary|Movement song — connects to following movement directions
68|Walk Daniel |Cultural & Folk, Dance & Movement, Water & Sea|CU#226|Language & Vocabulary|Describe people, places, things, events with relevant details (Gr 1)|secondary|Song about water/sea — practice descriptive language
68|Walk Daniel |Cultural & Folk, Dance & Movement, Water & Sea|CU#256|Science & Nature|Evidence that Earth events can occur quickly or slowly (Gr 2)|secondary|Water/sea song — connects to Earth events
68|Walk Daniel |Cultural & Folk, Dance & Movement, Water & Sea|CU#257|Science & Nature|Processes that shape the Earth - wind/water changing land (Gr 2)|primary|Water/sea song — connects to water shaping the land
70|Chop-Nose Day|Body Parts|CU#219|Gross Motor & Movement|Balance and body control (static and moving) (Gr 1-2)|primary|Body parts song — connects to body awareness and control
70|Chop-Nose Day|Body Parts|CU#221|Gross Motor & Movement|Moving to rhythm and tempo (Gr 1-2)|secondary|Body parts song — often sung with rhythmic movements
70|Chop-Nose Day|Body Parts|CU#222|Gross Motor & Movement|Following multi-step movement directions / spatial awareness (Gr 1-2)|secondary|Body parts song — follows directions to move specific body parts
73|See saw Marjorie Daw / See Saw Sacradown|Dance & Movement|CU#219|Gross Motor & Movement|Balance and body control (static and moving) (Gr 1-2)|secondary|Movement song — connects to body control
73|See saw Marjorie Daw / See Saw Sacradown|Dance & Movement|CU#221|Gross Motor & Movement|Moving to rhythm and tempo (Gr 1-2)|primary|Dance/movement song — connects to moving with rhythm
73|See saw Marjorie Daw / See Saw Sacradown|Dance & Movement|CU#222|Gross Motor & Movement|Following multi-step movement directions / spatial awareness (Gr 1-2)|secondary|Movement song — connects to following movement directions
77|My Pony Boy |Animals, Transportation|CU#226|Language & Vocabulary|Describe people, places, things, events with relevant details (Gr 1)|secondary|Song about animals — practice describing animals with details
77|My Pony Boy |Animals, Transportation|CU#248|Science & Nature|Plant/animal structures that help survival (Gr 1)|primary|Animal song — connects to animal structures and their functions
77|My Pony Boy |Animals, Transportation|CU#253|Science & Nature|Habitats and Biodiversity (Gr 2)|secondary|Animal song — connects to where animals live (habitats)
79|Won't You Plant Your Seeds With Care|Nature & Plants|CU#248|Science & Nature|Plant/animal structures that help survival (Gr 1)|secondary|Nature song — connects to plant structures
79|Won't You Plant Your Seeds With Care|Nature & Plants|CU#251|Science & Nature|Environmental Plant Needs (Gr 2)|primary|Garden/planting song — connects to what plants need to grow
79|Won't You Plant Your Seeds With Care|Nature & Plants|CU#252|Science & Nature|Seed Dispersal and Pollination (Gr 2)|secondary|Garden/planting song — connects to how plants reproduce
79|Won't You Plant Your Seeds With Care|Nature & Plants|CU#253|Science & Nature|Habitats and Biodiversity (Gr 2)|secondary|Nature song — connects to habitats and biodiversity
80|5 Little Peas / Oats and Beans|Nature & Plants|CU#248|Science & Nature|Plant/animal structures that help survival (Gr 1)|secondary|Nature song — connects to plant structures
80|5 Little Peas / Oats and Beans|Nature & Plants|CU#251|Science & Nature|Environmental Plant Needs (Gr 2)|secondary|Nature song — connects to plant needs and growth
80|5 Little Peas / Oats and Beans|Nature & Plants|CU#253|Science & Nature|Habitats and Biodiversity (Gr 2)|secondary|Nature song — connects to habitats and biodiversity
86|Knees Up Mary Muffet |Dance & Movement|CU#219|Gross Motor & Movement|Balance and body control (static and moving) (Gr 1-2)|secondary|Movement song — connects to body control
86|Knees Up Mary Muffet |Dance & Movement|CU#221|Gross Motor & Movement|Moving to rhythm and tempo (Gr 1-2)|primary|Dance/movement song — connects to moving with rhythm
86|Knees Up Mary Muffet |Dance & Movement|CU#222|Gross Motor & Movement|Following multi-step movement directions / spatial awareness (Gr 1-2)|secondary|Movement song — connects to following movement directions
88|The Train Wheels are Rolling|Seasons & Weather, Transportation, Water & Sea|CU#190|Literacy & Phonics|Identify main topic and key details of informational text (Gr 2)|secondary|Transportation song — practice identifying main ideas about vehicles
88|The Train Wheels are Rolling|Seasons & Weather, Transportation, Water & Sea|CU#226|Language & Vocabulary|Describe people, places, things, events with relevant details (Gr 1)|secondary|Song about water/sea — practice descriptive language
88|The Train Wheels are Rolling|Seasons & Weather, Transportation, Water & Sea|CU#255|Science & Nature|Seasonal Sunlight patterns (sunrise/sunset) (Gr 1)|primary|Seasons song — connects to seasonal patterns
88|The Train Wheels are Rolling|Seasons & Weather, Transportation, Water & Sea|CU#256|Science & Nature|Evidence that Earth events can occur quickly or slowly (Gr 2)|secondary|Seasons/weather song — connects to rates of Earth events
88|The Train Wheels are Rolling|Seasons & Weather, Transportation, Water & Sea|CU#257|Science & Nature|Processes that shape the Earth - wind/water changing land (Gr 2)|primary|Water/sea song — connects to water shaping the land
89|Here is The Little Boy|Seasons & Weather, Transportation, Water & Sea|CU#226|Language & Vocabulary|Describe people, places, things, events with relevant details (Gr 1)|secondary|Song about water/sea — practice descriptive language
89|Here is The Little Boy|Seasons & Weather, Transportation, Water & Sea|CU#255|Science & Nature|Seasonal Sunlight patterns (sunrise/sunset) (Gr 1)|primary|Seasons song — connects to seasonal patterns
89|Here is The Little Boy|Seasons & Weather, Transportation, Water & Sea|CU#256|Science & Nature|Evidence that Earth events can occur quickly or slowly (Gr 2)|secondary|Seasons/weather song — connects to rates of Earth events
89|Here is The Little Boy|Seasons & Weather, Transportation, Water & Sea|CU#257|Science & Nature|Processes that shape the Earth - wind/water changing land (Gr 2)|primary|Water/sea song — connects to water shaping the land
90|Morningtown Ride|Transportation|CU#222|Gross Motor & Movement|Following multi-step movement directions / spatial awareness (Gr 1-2)|secondary|Movement song about vehicles — spatial and directional awareness
90|Morningtown Ride|Transportation|CU#226|Language & Vocabulary|Describe people, places, things, events with relevant details (Gr 1)|primary|Transportation song — practice describing vehicles and travel
92|There Was a Little Mouse/ Mouse and Cheese / Little mice go creeping|Animals|CU#226|Language & Vocabulary|Describe people, places, things, events with relevant details (Gr 1)|secondary|Song about animals — practice describing animals with details
92|There Was a Little Mouse/ Mouse and Cheese / Little mice go creeping|Animals|CU#250|Science & Nature|Plant and Animal Structures - offspring resemble parents (Gr 1)|primary|Song about baby animals — directly connects to offspring resembling parents
93|Shake Them Simmons Down|Nature & Plants|CU#248|Science & Nature|Plant/animal structures that help survival (Gr 1)|secondary|Nature song — connects to plant structures
93|Shake Them Simmons Down|Nature & Plants|CU#251|Science & Nature|Environmental Plant Needs (Gr 2)|secondary|Nature song — connects to plant needs and growth
93|Shake Them Simmons Down|Nature & Plants|CU#253|Science & Nature|Habitats and Biodiversity (Gr 2)|secondary|Nature song — connects to habitats and biodiversity
94|One Cold and Frosty Morning|Seasons & Weather, Water & Sea|CU#226|Language & Vocabulary|Describe people, places, things, events with relevant details (Gr 1)|secondary|Song about water/sea — practice descriptive language
94|One Cold and Frosty Morning|Seasons & Weather, Water & Sea|CU#256|Science & Nature|Evidence that Earth events can occur quickly or slowly (Gr 2)|secondary|Seasons/weather song — connects to rates of Earth events
94|One Cold and Frosty Morning|Seasons & Weather, Water & Sea|CU#257|Science & Nature|Processes that shape the Earth - wind/water changing land (Gr 2)|secondary|Weather song — connects to wind/water shaping land
95|This little boy found an egg,|Animals, Nature & Plants|CU#226|Language & Vocabulary|Describe people, places, things, events with relevant details (Gr 1)|secondary|Song about animals — practice describing animals with details
95|This little boy found an egg,|Animals, Nature & Plants|CU#248|Science & Nature|Plant/animal structures that help survival (Gr 1)|primary|Animal song — connects to animal structures and their functions
95|This little boy found an egg,|Animals, Nature & Plants|CU#251|Science & Nature|Environmental Plant Needs (Gr 2)|secondary|Nature song — connects to plant needs and growth
95|This little boy found an egg,|Animals, Nature & Plants|CU#253|Science & Nature|Habitats and Biodiversity (Gr 2)|secondary|Animal song — connects to where animals live (habitats)
97|Down in the Valley|Nature & Plants|CU#248|Science & Nature|Plant/animal structures that help survival (Gr 1)|secondary|Nature song — connects to plant structures
97|Down in the Valley|Nature & Plants|CU#251|Science & Nature|Environmental Plant Needs (Gr 2)|secondary|Nature song — connects to plant needs and growth
97|Down in the Valley|Nature & Plants|CU#253|Science & Nature|Habitats and Biodiversity (Gr 2)|secondary|Nature song — connects to habitats and biodiversity
97|Down in the Valley|Nature & Plants|CU#257|Science & Nature|Processes that shape the Earth - wind/water changing land (Gr 2)|secondary|Landscape song — connects to Earth surface processes
99|The Baby Bear Waltz|Animals, Dance & Movement, Family|CU#218|Gross Motor & Movement|Locomotor skills: running, jumping, hopping, skipping (Gr 1-2)|primary|Animal action song — combines animal theme with gross motor movement
99|The Baby Bear Waltz|Animals, Dance & Movement, Family|CU#219|Gross Motor & Movement|Balance and body control (static and moving) (Gr 1-2)|secondary|Movement song — connects to body control
99|The Baby Bear Waltz|Animals, Dance & Movement, Family|CU#221|Gross Motor & Movement|Moving to rhythm and tempo (Gr 1-2)|primary|Dance/movement song — connects to moving with rhythm
99|The Baby Bear Waltz|Animals, Dance & Movement, Family|CU#222|Gross Motor & Movement|Following multi-step movement directions / spatial awareness (Gr 1-2)|secondary|Movement song — connects to following movement directions
99|The Baby Bear Waltz|Animals, Dance & Movement, Family|CU#226|Language & Vocabulary|Describe people, places, things, events with relevant details (Gr 1)|secondary|Song about animals — practice describing animals with details
99|The Baby Bear Waltz|Animals, Dance & Movement, Family|CU#250|Science & Nature|Plant and Animal Structures - offspring resemble parents (Gr 1)|primary|Song about baby animals — directly connects to offspring resembling parents
101|Kangaroo Brown |Animals|CU#226|Language & Vocabulary|Describe people, places, things, events with relevant details (Gr 1)|secondary|Song about animals — practice describing animals with details
101|Kangaroo Brown |Animals|CU#248|Science & Nature|Plant/animal structures that help survival (Gr 1)|primary|Animal song — connects to animal structures and their functions
101|Kangaroo Brown |Animals|CU#253|Science & Nature|Habitats and Biodiversity (Gr 2)|secondary|Animal song — connects to where animals live (habitats)
102|Jubilee|Dance & Movement, Holidays & Celebrations|CU#219|Gross Motor & Movement|Balance and body control (static and moving) (Gr 1-2)|secondary|Movement song — connects to body control
102|Jubilee|Dance & Movement, Holidays & Celebrations|CU#221|Gross Motor & Movement|Moving to rhythm and tempo (Gr 1-2)|primary|Dance/movement song — connects to moving with rhythm
102|Jubilee|Dance & Movement, Holidays & Celebrations|CU#222|Gross Motor & Movement|Following multi-step movement directions / spatial awareness (Gr 1-2)|secondary|Movement song — connects to following movement directions
104|Ho Young Rider|Animals, Transportation|CU#226|Language & Vocabulary|Describe people, places, things, events with relevant details (Gr 1)|secondary|Song about animals — practice describing animals with details
104|Ho Young Rider|Animals, Transportation|CU#248|Science & Nature|Plant/animal structures that help survival (Gr 1)|primary|Animal song — connects to animal structures and their functions
104|Ho Young Rider|Animals, Transportation|CU#253|Science & Nature|Habitats and Biodiversity (Gr 2)|secondary|Animal song — connects to where animals live (habitats)
106|The Moon is Round / The Moonman|Seasons & Weather|CU#254|Science & Nature|Sun, Moon, and Star Patterns (Gr 1)|primary|Moon/sun/star song — directly connects to sky patterns
106|The Moon is Round / The Moonman|Seasons & Weather|CU#255|Science & Nature|Seasonal Sunlight patterns (sunrise/sunset) (Gr 1)|secondary|Sun/moon song — connects to daily and seasonal sunlight changes
106|The Moon is Round / The Moonman|Seasons & Weather|CU#256|Science & Nature|Evidence that Earth events can occur quickly or slowly (Gr 2)|secondary|Seasons/weather song — connects to rates of Earth events
107|Train is A'leaving|Seasons & Weather, Transportation, Water & Sea|CU#190|Literacy & Phonics|Identify main topic and key details of informational text (Gr 2)|secondary|Transportation song — practice identifying main ideas about vehicles
107|Train is A'leaving|Seasons & Weather, Transportation, Water & Sea|CU#226|Language & Vocabulary|Describe people, places, things, events with relevant details (Gr 1)|secondary|Song about water/sea — practice descriptive language
107|Train is A'leaving|Seasons & Weather, Transportation, Water & Sea|CU#255|Science & Nature|Seasonal Sunlight patterns (sunrise/sunset) (Gr 1)|primary|Seasons song — connects to seasonal patterns
107|Train is A'leaving|Seasons & Weather, Transportation, Water & Sea|CU#256|Science & Nature|Evidence that Earth events can occur quickly or slowly (Gr 2)|secondary|Seasons/weather song — connects to rates of Earth events
107|Train is A'leaving|Seasons & Weather, Transportation, Water & Sea|CU#257|Science & Nature|Processes that shape the Earth - wind/water changing land (Gr 2)|primary|Water/sea song — connects to water shaping the land
108|Circle Of The Sun|Seasons & Weather|CU#254|Science & Nature|Sun, Moon, and Star Patterns (Gr 1)|primary|Moon/sun/star song — directly connects to sky patterns
108|Circle Of The Sun|Seasons & Weather|CU#255|Science & Nature|Seasonal Sunlight patterns (sunrise/sunset) (Gr 1)|secondary|Sun/moon song — connects to daily and seasonal sunlight changes
108|Circle Of The Sun|Seasons & Weather|CU#256|Science & Nature|Evidence that Earth events can occur quickly or slowly (Gr 2)|secondary|Seasons/weather song — connects to rates of Earth events
114|Pretty Painted butterfly|Animals|CU#226|Language & Vocabulary|Describe people, places, things, events with relevant details (Gr 1)|secondary|Song about animals — practice describing animals with details
114|Pretty Painted butterfly|Animals|CU#253|Science & Nature|Habitats and Biodiversity (Gr 2)|primary|Small creature song — connects to habitats and biodiversity
115|She Didn't Dance, Dance, Dance|Dance & Movement|CU#219|Gross Motor & Movement|Balance and body control (static and moving) (Gr 1-2)|secondary|Movement song — connects to body control
115|She Didn't Dance, Dance, Dance|Dance & Movement|CU#221|Gross Motor & Movement|Moving to rhythm and tempo (Gr 1-2)|primary|Dance song — directly connects to moving to rhythm
115|She Didn't Dance, Dance, Dance|Dance & Movement|CU#222|Gross Motor & Movement|Following multi-step movement directions / spatial awareness (Gr 1-2)|secondary|Movement song — connects to following movement directions
117|Sailing Sailing Over the Ocean|Transportation, Water & Sea|CU#226|Language & Vocabulary|Describe people, places, things, events with relevant details (Gr 1)|secondary|Song about water/sea — practice descriptive language
117|Sailing Sailing Over the Ocean|Transportation, Water & Sea|CU#256|Science & Nature|Evidence that Earth events can occur quickly or slowly (Gr 2)|secondary|Water/sea song — connects to Earth events
117|Sailing Sailing Over the Ocean|Transportation, Water & Sea|CU#257|Science & Nature|Processes that shape the Earth - wind/water changing land (Gr 2)|primary|Water/sea song — connects to water shaping the land
120|Rags the Dog|Animals|CU#226|Language & Vocabulary|Describe people, places, things, events with relevant details (Gr 1)|secondary|Song about animals — practice describing animals with details
120|Rags the Dog|Animals|CU#248|Science & Nature|Plant/animal structures that help survival (Gr 1)|primary|Animal song — connects to animal structures and their functions
120|Rags the Dog|Animals|CU#253|Science & Nature|Habitats and Biodiversity (Gr 2)|secondary|Animal song — connects to where animals live (habitats)
122|Watch the Stars See How They Run|Dance & Movement, Seasons & Weather|CU#218|Gross Motor & Movement|Locomotor skills: running, jumping, hopping, skipping (Gr 1-2)|secondary|Movement song — connects to locomotor skills
122|Watch the Stars See How They Run|Dance & Movement, Seasons & Weather|CU#219|Gross Motor & Movement|Balance and body control (static and moving) (Gr 1-2)|secondary|Movement song — connects to body control
122|Watch the Stars See How They Run|Dance & Movement, Seasons & Weather|CU#222|Gross Motor & Movement|Following multi-step movement directions / spatial awareness (Gr 1-2)|secondary|Movement song — connects to following movement directions
122|Watch the Stars See How They Run|Dance & Movement, Seasons & Weather|CU#255|Science & Nature|Seasonal Sunlight patterns (sunrise/sunset) (Gr 1)|primary|Seasons song — connects to seasonal patterns
122|Watch the Stars See How They Run|Dance & Movement, Seasons & Weather|CU#256|Science & Nature|Evidence that Earth events can occur quickly or slowly (Gr 2)|secondary|Seasons/weather song — connects to rates of Earth events
132|I see the moon|Seasons & Weather|CU#254|Science & Nature|Sun, Moon, and Star Patterns (Gr 1)|primary|Moon/sun/star song — directly connects to sky patterns
132|I see the moon|Seasons & Weather|CU#255|Science & Nature|Seasonal Sunlight patterns (sunrise/sunset) (Gr 1)|secondary|Sun/moon song — connects to daily and seasonal sunlight changes
132|I see the moon|Seasons & Weather|CU#256|Science & Nature|Evidence that Earth events can occur quickly or slowly (Gr 2)|secondary|Seasons/weather song — connects to rates of Earth events
133|Baby's Boat|Family, Water & Sea|CU#226|Language & Vocabulary|Describe people, places, things, events with relevant details (Gr 1)|secondary|Song about water/sea — practice descriptive language
133|Baby's Boat|Family, Water & Sea|CU#256|Science & Nature|Evidence that Earth events can occur quickly or slowly (Gr 2)|secondary|Water/sea song — connects to Earth events
133|Baby's Boat|Family, Water & Sea|CU#257|Science & Nature|Processes that shape the Earth - wind/water changing land (Gr 2)|primary|Water/sea song — connects to water shaping the land
135|Great Big Star |Seasons & Weather|CU#254|Science & Nature|Sun, Moon, and Star Patterns (Gr 1)|primary|Moon/sun/star song — directly connects to sky patterns
135|Great Big Star |Seasons & Weather|CU#255|Science & Nature|Seasonal Sunlight patterns (sunrise/sunset) (Gr 1)|secondary|Sun/moon song — connects to daily and seasonal sunlight changes
135|Great Big Star |Seasons & Weather|CU#256|Science & Nature|Evidence that Earth events can occur quickly or slowly (Gr 2)|secondary|Seasons/weather song — connects to rates of Earth events
136|Douglas Mountain |Bedtime & Lullaby, Nature & Plants|CU#248|Science & Nature|Plant/animal structures that help survival (Gr 1)|secondary|Nature song — connects to plant structures
136|Douglas Mountain |Bedtime & Lullaby, Nature & Plants|CU#251|Science & Nature|Environmental Plant Needs (Gr 2)|secondary|Nature song — connects to plant needs and growth
136|Douglas Mountain |Bedtime & Lullaby, Nature & Plants|CU#253|Science & Nature|Habitats and Biodiversity (Gr 2)|secondary|Nature song — connects to habitats and biodiversity
136|Douglas Mountain |Bedtime & Lullaby, Nature & Plants|CU#257|Science & Nature|Processes that shape the Earth - wind/water changing land (Gr 2)|secondary|Landscape song — connects to Earth surface processes
137|Mister Moon / The Cuckoo |Seasons & Weather|CU#254|Science & Nature|Sun, Moon, and Star Patterns (Gr 1)|primary|Moon/sun/star song — directly connects to sky patterns
137|Mister Moon / The Cuckoo |Seasons & Weather|CU#255|Science & Nature|Seasonal Sunlight patterns (sunrise/sunset) (Gr 1)|secondary|Sun/moon song — connects to daily and seasonal sunlight changes
137|Mister Moon / The Cuckoo |Seasons & Weather|CU#256|Science & Nature|Evidence that Earth events can occur quickly or slowly (Gr 2)|secondary|Seasons/weather song — connects to rates of Earth events
139|My Pigeon Coop |Animals|CU#226|Language & Vocabulary|Describe people, places, things, events with relevant details (Gr 1)|secondary|Song about animals — practice describing animals with details
139|My Pigeon Coop |Animals|CU#248|Science & Nature|Plant/animal structures that help survival (Gr 1)|primary|Farm/bird song — connects to animal structures and survival
139|My Pigeon Coop |Animals|CU#252|Science & Nature|Seed Dispersal and Pollination (Gr 2)|secondary|Bee/bird song — connects to pollination and seed dispersal
141|Little Lap Dog |Animals|CU#226|Language & Vocabulary|Describe people, places, things, events with relevant details (Gr 1)|secondary|Song about animals — practice describing animals with details
141|Little Lap Dog |Animals|CU#248|Science & Nature|Plant/animal structures that help survival (Gr 1)|primary|Animal song — connects to animal structures and their functions
141|Little Lap Dog |Animals|CU#253|Science & Nature|Habitats and Biodiversity (Gr 2)|secondary|Animal song — connects to where animals live (habitats)
143|Come Row The Boat |Transportation, Water & Sea|CU#190|Literacy & Phonics|Identify main topic and key details of informational text (Gr 2)|secondary|Transportation song — practice identifying main ideas about vehicles
143|Come Row The Boat |Transportation, Water & Sea|CU#226|Language & Vocabulary|Describe people, places, things, events with relevant details (Gr 1)|secondary|Song about water/sea — practice descriptive language
143|Come Row The Boat |Transportation, Water & Sea|CU#256|Science & Nature|Evidence that Earth events can occur quickly or slowly (Gr 2)|secondary|Water/sea song — connects to Earth events
143|Come Row The Boat |Transportation, Water & Sea|CU#257|Science & Nature|Processes that shape the Earth - wind/water changing land (Gr 2)|primary|Water/sea song — connects to water shaping the land
145|Turn Around |Dance & Movement|CU#218|Gross Motor & Movement|Locomotor skills: running, jumping, hopping, skipping (Gr 1-2)|secondary|Movement song — connects to locomotor skills
145|Turn Around |Dance & Movement|CU#219|Gross Motor & Movement|Balance and body control (static and moving) (Gr 1-2)|secondary|Movement song — connects to body control
145|Turn Around |Dance & Movement|CU#222|Gross Motor & Movement|Following multi-step movement directions / spatial awareness (Gr 1-2)|secondary|Movement song — connects to following movement directions
147|Kitty Alone |Animals, Feelings & Emotions|CU#226|Language & Vocabulary|Describe people, places, things, events with relevant details (Gr 1)|secondary|Song about animals — practice describing animals with details
147|Kitty Alone |Animals, Feelings & Emotions|CU#248|Science & Nature|Plant/animal structures that help survival (Gr 1)|primary|Animal song — connects to animal structures and their functions
147|Kitty Alone |Animals, Feelings & Emotions|CU#253|Science & Nature|Habitats and Biodiversity (Gr 2)|secondary|Animal song — connects to where animals live (habitats)
148|I See The Moon (up over my bed) |Seasons & Weather|CU#254|Science & Nature|Sun, Moon, and Star Patterns (Gr 1)|primary|Moon/sun/star song — directly connects to sky patterns
148|I See The Moon (up over my bed) |Seasons & Weather|CU#255|Science & Nature|Seasonal Sunlight patterns (sunrise/sunset) (Gr 1)|secondary|Sun/moon song — connects to daily and seasonal sunlight changes
148|I See The Moon (up over my bed) |Seasons & Weather|CU#256|Science & Nature|Evidence that Earth events can occur quickly or slowly (Gr 2)|secondary|Seasons/weather song — connects to rates of Earth events
149|Catch A Falling Star |Bedtime & Lullaby, Seasons & Weather|CU#254|Science & Nature|Sun, Moon, and Star Patterns (Gr 1)|primary|Moon/sun/star song — directly connects to sky patterns
149|Catch A Falling Star |Bedtime & Lullaby, Seasons & Weather|CU#255|Science & Nature|Seasonal Sunlight patterns (sunrise/sunset) (Gr 1)|secondary|Sun/moon song — connects to daily and seasonal sunlight changes
149|Catch A Falling Star |Bedtime & Lullaby, Seasons & Weather|CU#256|Science & Nature|Evidence that Earth events can occur quickly or slowly (Gr 2)|secondary|Seasons/weather song — connects to rates of Earth events
152|Wee Baby Moon |Family, Seasons & Weather|CU#254|Science & Nature|Sun, Moon, and Star Patterns (Gr 1)|primary|Moon/sun/star song — directly connects to sky patterns
152|Wee Baby Moon |Family, Seasons & Weather|CU#255|Science & Nature|Seasonal Sunlight patterns (sunrise/sunset) (Gr 1)|secondary|Sun/moon song — connects to daily and seasonal sunlight changes
152|Wee Baby Moon |Family, Seasons & Weather|CU#256|Science & Nature|Evidence that Earth events can occur quickly or slowly (Gr 2)|secondary|Seasons/weather song — connects to rates of Earth events
153|Dreams Of Harmony |Feelings & Emotions, Music & Instruments|CU#210|Routines & Transitions|Following 2-3 step verbal directions (Gr 1-2)|secondary|Instrument song — following directions to play/move instruments
153|Dreams Of Harmony |Feelings & Emotions, Music & Instruments|CU#221|Gross Motor & Movement|Moving to rhythm and tempo (Gr 1-2)|secondary|Music song — connects to rhythm and steady beat
153|Dreams Of Harmony |Feelings & Emotions, Music & Instruments|CU#240|Science & Nature|Sound and Vibrating Materials (Gr 1)|primary|Music/instrument song — connects to how instruments make sound
155|Going for a Walk|Dance & Movement, Routines & Social Skills|CU#218|Gross Motor & Movement|Locomotor skills: running, jumping, hopping, skipping (Gr 1-2)|secondary|Movement song — connects to locomotor skills
