row_num|song_id|song_name|theme|suggested_cu_id|subject|lesson_topic|relevance|teacher_rationale
|134|Goodnight Ladies|Bedtime & Lullaby|CU#213|Classroom Routine & Approaches to Learning|Clean-up and end-of-day routine|secondary|Goodnight song signals end-of-day transition and classroom closure
|138|On My Way To Dreamland|Bedtime & Lullaby|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|138|On My Way To Dreamland|Bedtime & Lullaby|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|138|On My Way To Dreamland|Bedtime & Lullaby|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|138|On My Way To Dreamland|Bedtime & Lullaby|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|140|Cowgirl's Lullaby|Bedtime & Lullaby|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|140|Cowgirl's Lullaby|Bedtime & Lullaby|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|140|Cowgirl's Lullaby|Bedtime & Lullaby|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|140|Cowgirl's Lullaby|Bedtime & Lullaby|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|142|Lavender's Blue|Bedtime & Lullaby|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|142|Lavender's Blue|Bedtime & Lullaby|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|142|Lavender's Blue|Bedtime & Lullaby|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|142|Lavender's Blue|Bedtime & Lullaby|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|144|Goodnight Beloved Mine|Bedtime & Lullaby|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|144|Goodnight Beloved Mine|Bedtime & Lullaby|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|144|Goodnight Beloved Mine|Bedtime & Lullaby|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|144|Goodnight Beloved Mine|Bedtime & Lullaby|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|224|Goes to Sleep|Bedtime & Lullaby|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|224|Goes to Sleep|Bedtime & Lullaby|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|224|Goes to Sleep|Bedtime & Lullaby|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|224|Goes to Sleep|Bedtime & Lullaby|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|338|On My Way To Dreamland|Bedtime & Lullaby|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|338|On My Way To Dreamland|Bedtime & Lullaby|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|338|On My Way To Dreamland|Bedtime & Lullaby|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|338|On My Way To Dreamland|Bedtime & Lullaby|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|409|Ako Si Legla Spat|Bedtime & Lullaby|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|409|Ako Si Legla Spat|Bedtime & Lullaby|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|409|Ako Si Legla Spat|Bedtime & Lullaby|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|409|Ako Si Legla Spat|Bedtime & Lullaby|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|412|Thula|Bedtime & Lullaby|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|412|Thula|Bedtime & Lullaby|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|412|Thula|Bedtime & Lullaby|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|412|Thula|Bedtime & Lullaby|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|429|Sweet and Low|Bedtime & Lullaby|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|429|Sweet and Low|Bedtime & Lullaby|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|429|Sweet and Low|Bedtime & Lullaby|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|429|Sweet and Low|Bedtime & Lullaby|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|495|Sweet and Low|Bedtime & Lullaby|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|495|Sweet and Low|Bedtime & Lullaby|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|495|Sweet and Low|Bedtime & Lullaby|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|495|Sweet and Low|Bedtime & Lullaby|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|528|Fais do do|Bedtime & Lullaby|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|528|Fais do do|Bedtime & Lullaby|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|528|Fais do do|Bedtime & Lullaby|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|528|Fais do do|Bedtime & Lullaby|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|410|Close your eyes and Dream|Bedtime & Lullaby, Body Parts, Feelings & Emotions|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|410|Close your eyes and Dream|Bedtime & Lullaby, Body Parts, Feelings & Emotions|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|410|Close your eyes and Dream|Bedtime & Lullaby, Body Parts, Feelings & Emotions|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|410|Close your eyes and Dream|Bedtime & Lullaby, Body Parts, Feelings & Emotions|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|410|Close your eyes and Dream|Bedtime & Lullaby, Body Parts, Feelings & Emotions|CU#258|SEL|Identifying and naming a range of emotions|secondary|Lullabies with emotional content help children identify peaceful and calm feelings
|151|Sweet Kentucky Babe|Bedtime & Lullaby, Cultural & Folk|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|151|Sweet Kentucky Babe|Bedtime & Lullaby, Cultural & Folk|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|151|Sweet Kentucky Babe|Bedtime & Lullaby, Cultural & Folk|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|151|Sweet Kentucky Babe|Bedtime & Lullaby, Cultural & Folk|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|124|Hush Little Baby|Bedtime & Lullaby, Family|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|124|Hush Little Baby|Bedtime & Lullaby, Family|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|124|Hush Little Baby|Bedtime & Lullaby, Family|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|124|Hush Little Baby|Bedtime & Lullaby, Family|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|124|Hush Little Baby|Bedtime & Lullaby, Family|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|secondary|Family-themed lullabies foster gratitude for caregivers and loved ones
|128|Rock a Bye Baby / Sleep Baby Sleep|Bedtime & Lullaby, Family|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|128|Rock a Bye Baby / Sleep Baby Sleep|Bedtime & Lullaby, Family|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|128|Rock a Bye Baby / Sleep Baby Sleep|Bedtime & Lullaby, Family|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|128|Rock a Bye Baby / Sleep Baby Sleep|Bedtime & Lullaby, Family|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|128|Rock a Bye Baby / Sleep Baby Sleep|Bedtime & Lullaby, Family|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|secondary|Family-themed lullabies foster gratitude for caregivers and loved ones
|146|Bye O Baby Bye|Bedtime & Lullaby, Family|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|146|Bye O Baby Bye|Bedtime & Lullaby, Family|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|146|Bye O Baby Bye|Bedtime & Lullaby, Family|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|146|Bye O Baby Bye|Bedtime & Lullaby, Family|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|146|Bye O Baby Bye|Bedtime & Lullaby, Family|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|secondary|Family-themed lullabies foster gratitude for caregivers and loved ones
|150|Bye Baby Bye|Bedtime & Lullaby, Family|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|150|Bye Baby Bye|Bedtime & Lullaby, Family|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|150|Bye Baby Bye|Bedtime & Lullaby, Family|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|150|Bye Baby Bye|Bedtime & Lullaby, Family|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|150|Bye Baby Bye|Bedtime & Lullaby, Family|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|secondary|Family-themed lullabies foster gratitude for caregivers and loved ones
|226|Sleep small baby sleep|Bedtime & Lullaby, Family|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|226|Sleep small baby sleep|Bedtime & Lullaby, Family|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|226|Sleep small baby sleep|Bedtime & Lullaby, Family|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|226|Sleep small baby sleep|Bedtime & Lullaby, Family|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|226|Sleep small baby sleep|Bedtime & Lullaby, Family|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|secondary|Family-themed lullabies foster gratitude for caregivers and loved ones
|254|Hush Little Baby|Bedtime & Lullaby, Family|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|254|Hush Little Baby|Bedtime & Lullaby, Family|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|254|Hush Little Baby|Bedtime & Lullaby, Family|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|254|Hush Little Baby|Bedtime & Lullaby, Family|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|254|Hush Little Baby|Bedtime & Lullaby, Family|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|secondary|Family-themed lullabies foster gratitude for caregivers and loved ones
|399|Here is my baby ready for her nap|Bedtime & Lullaby, Family, Routines & Social Skills|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|399|Here is my baby ready for her nap|Bedtime & Lullaby, Family, Routines & Social Skills|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|399|Here is my baby ready for her nap|Bedtime & Lullaby, Family, Routines & Social Skills|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|399|Here is my baby ready for her nap|Bedtime & Lullaby, Family, Routines & Social Skills|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|399|Here is my baby ready for her nap|Bedtime & Lullaby, Family, Routines & Social Skills|CU#208|Classroom Routine & Approaches to Learning|Morning arrival and settling-in routine|secondary|Nap preparation routine establishes predictable settling-in pattern for young children
|399|Here is my baby ready for her nap|Bedtime & Lullaby, Family, Routines & Social Skills|CU#213|Classroom Routine & Approaches to Learning|Clean-up and end-of-day routine|secondary|Nap-time routine parallels end-of-day clean-up and wind-down expectations
|399|Here is my baby ready for her nap|Bedtime & Lullaby, Family, Routines & Social Skills|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|secondary|Family-themed lullabies foster gratitude for caregivers and loved ones
|411|Tomorrow's Just a Dream Away|Bedtime & Lullaby, Feelings & Emotions|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|411|Tomorrow's Just a Dream Away|Bedtime & Lullaby, Feelings & Emotions|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|411|Tomorrow's Just a Dream Away|Bedtime & Lullaby, Feelings & Emotions|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|411|Tomorrow's Just a Dream Away|Bedtime & Lullaby, Feelings & Emotions|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|411|Tomorrow's Just a Dream Away|Bedtime & Lullaby, Feelings & Emotions|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|primary|Dream-themed song encourages hopeful reflection and gratitude for future possibilities
|411|Tomorrow's Just a Dream Away|Bedtime & Lullaby, Feelings & Emotions|CU#258|SEL|Identifying and naming a range of emotions|secondary|Exploring dream and anticipation emotions supports emotional vocabulary development
|184|Monday Night the Banjo|Bedtime & Lullaby, Music & Instruments|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|184|Monday Night the Banjo|Bedtime & Lullaby, Music & Instruments|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|184|Monday Night the Banjo|Bedtime & Lullaby, Music & Instruments|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|184|Monday Night the Banjo|Bedtime & Lullaby, Music & Instruments|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|136|Douglas Mountain|Bedtime & Lullaby, Nature & Plants|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|136|Douglas Mountain|Bedtime & Lullaby, Nature & Plants|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
