song_id|issue_type|description|suggested_fix|severity
226|RATIONALE_WEAK|'Sleep small baby sleep' mapped to CU#209 with a generic rationale that could apply to many songs. Rationale: 'The soothing quality of this song makes it ideal as a transition signal between active and quiet act...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
226|RATIONALE_WEAK|'Sleep small baby sleep' mapped to CU#211 with a generic rationale that could apply to many songs. Rationale: 'The calm, predictable nature of this lullaby-style song creates a focused atmosphere that supports i...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
238|RATIONALE_WEAK|'Mother and Father and Uncle John' mapped to CU#263 with a generic rationale that could apply to many songs. Rationale: 'Discussing family relationships naturally leads to conversations about getting along with others, sh...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
241|RATIONALE_WEAK|'With a Tick and a Tock / My Grandfather Clock' mapped to CU#263 with a generic rationale that could apply to many songs. Rationale: 'Discussing family relationships naturally leads to conversations about getting along with others, sh...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
253|RATIONALE_WEAK|'Babushka Baio' mapped to CU#263 with a generic rationale that could apply to many songs. Rationale: 'Family songs naturally lead to discussions about how family members work together, share, and resolv...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
254|RATIONALE_WEAK|'Hush Little Baby' mapped to CU#209 with a generic rationale that could apply to many songs. Rationale: 'The soothing quality of this song makes it ideal as a transition signal between active and quiet act...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
254|RATIONALE_WEAK|'Hush Little Baby' mapped to CU#211 with a generic rationale that could apply to many songs. Rationale: 'The calm, predictable nature of this lullaby-style song creates a focused atmosphere that supports i...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
337|RATIONALE_WEAK|'Baby's Boat' mapped to CU#209 with a generic rationale that could apply to many songs. Rationale: 'The soothing quality of this song makes it ideal as a transition signal between active and quiet act...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
337|RATIONALE_WEAK|'Baby's Boat' mapped to CU#211 with a generic rationale that could apply to many songs. Rationale: 'The calm, predictable nature of this lullaby-style song creates a focused atmosphere that supports i...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
399|RATIONALE_WEAK|'Here is my baby ready for her nap' mapped to CU#209 with a generic rationale that could apply to many songs. Rationale: 'The soothing quality of this song makes it ideal as a transition signal between active and quiet act...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
399|RATIONALE_WEAK|'Here is my baby ready for her nap' mapped to CU#211 with a generic rationale that could apply to many songs. Rationale: 'The calm, predictable nature of this lullaby-style song creates a focused atmosphere that supports i...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
400|RATIONALE_WEAK|'Mama's Sleeping' mapped to CU#209 with a generic rationale that could apply to many songs. Rationale: 'The soothing quality of this song makes it ideal as a transition signal between active and quiet act...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
400|RATIONALE_WEAK|'Mama's Sleeping' mapped to CU#211 with a generic rationale that could apply to many songs. Rationale: 'The calm, predictable nature of this lullaby-style song creates a focused atmosphere that supports i...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
414|RATIONALE_WEAK|'Sweetest Little Baby' mapped to CU#209 with a generic rationale that could apply to many songs. Rationale: 'The soothing quality of this song makes it ideal as a transition signal between active and quiet act...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
414|RATIONALE_WEAK|'Sweetest Little Baby' mapped to CU#211 with a generic rationale that could apply to many songs. Rationale: 'The calm, predictable nature of this lullaby-style song creates a focused atmosphere that supports i...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
418|RATIONALE_WEAK|'Rockin' my Baby' mapped to CU#209 with a generic rationale that could apply to many songs. Rationale: 'The soothing quality of this song makes it ideal as a transition signal between active and quiet act...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
418|RATIONALE_WEAK|'Rockin' my Baby' mapped to CU#211 with a generic rationale that could apply to many songs. Rationale: 'The calm, predictable nature of this lullaby-style song creates a focused atmosphere that supports i...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
420|RATIONALE_WEAK|'Edward Loves His Mommy' mapped to CU#263 with a generic rationale that could apply to many songs. Rationale: 'Discussing family relationships naturally leads to conversations about getting along with others, sh...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
421|RATIONALE_WEAK|'Boom Boom Baby Goes Boom Boom' mapped to CU#209 with a generic rationale that could apply to many songs. Rationale: 'The soothing quality of this song makes it ideal as a transition signal between active and quiet act...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
421|RATIONALE_WEAK|'Boom Boom Baby Goes Boom Boom' mapped to CU#211 with a generic rationale that could apply to many songs. Rationale: 'The calm, predictable nature of this lullaby-style song creates a focused atmosphere that supports i...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
430|RATIONALE_WEAK|'Trot Trot to Grandma's House' mapped to CU#263 with a generic rationale that could apply to many songs. Rationale: 'Discussing family relationships naturally leads to conversations about getting along with others, sh...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
480|RATIONALE_WEAK|'Sweetest Little Baby' mapped to CU#209 with a generic rationale that could apply to many songs. Rationale: 'The soothing quality of this song makes it ideal as a transition signal between active and quiet act...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
480|RATIONALE_WEAK|'Sweetest Little Baby' mapped to CU#211 with a generic rationale that could apply to many songs. Rationale: 'The calm, predictable nature of this lullaby-style song creates a focused atmosphere that supports i...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
484|RATIONALE_WEAK|'Rockin' my Baby' mapped to CU#209 with a generic rationale that could apply to many songs. Rationale: 'The soothing quality of this song makes it ideal as a transition signal between active and quiet act...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
484|RATIONALE_WEAK|'Rockin' my Baby' mapped to CU#211 with a generic rationale that could apply to many songs. Rationale: 'The calm, predictable nature of this lullaby-style song creates a focused atmosphere that supports i...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
486|RATIONALE_WEAK|'Edward Loves His Mommy' mapped to CU#263 with a generic rationale that could apply to many songs. Rationale: 'Discussing family relationships naturally leads to conversations about getting along with others, sh...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
487|RATIONALE_WEAK|'Boom Boom Baby Goes Boom Boom' mapped to CU#209 with a generic rationale that could apply to many songs. Rationale: 'The soothing quality of this song makes it ideal as a transition signal between active and quiet act...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
487|RATIONALE_WEAK|'Boom Boom Baby Goes Boom Boom' mapped to CU#211 with a generic rationale that could apply to many songs. Rationale: 'The calm, predictable nature of this lullaby-style song creates a focused atmosphere that supports i...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
496|RATIONALE_WEAK|'Trot Trot to Grandma's House' mapped to CU#263 with a generic rationale that could apply to many songs. Rationale: 'Discussing family relationships naturally leads to conversations about getting along with others, sh...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
526|RATIONALE_WEAK|'Maman , Papa et Oncle Simon' mapped to CU#263 with a generic rationale that could apply to many songs. Rationale: 'Discussing family relationships naturally leads to conversations about getting along with others, sh...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
537|RATIONALE_WEAK|'Maman fait dodo' mapped to CU#263 with a generic rationale that could apply to many songs. Rationale: 'Discussing family relationships naturally leads to conversations about getting along with others, sh...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
537|RATIONALE_WEAK|'Maman fait dodo' mapped to CU#258 with a generic rationale that could apply to many songs. Rationale: 'This gentle family song about babies and caregivers evokes feelings of love, comfort, and security. ...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
537|RATIONALE_WEAK|'Maman fait dodo' mapped to CU#209 with a generic rationale that could apply to many songs. Rationale: 'The soothing quality of this song makes it ideal as a transition signal between active and quiet act...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
537|RATIONALE_WEAK|'Maman fait dodo' mapped to CU#211 with a generic rationale that could apply to many songs. Rationale: 'The calm, predictable nature of this lullaby-style song creates a focused atmosphere that supports i...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
75|RATIONALE_WEAK|'Cousin Peter' mapped to CU#263 with a generic rationale that could apply to many songs. Rationale: 'Discussing family relationships naturally leads to conversations about getting along with others, sh...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
99|BAD_RELEVANCE|'The Baby Bear Waltz' has CU#261 (Respecting perspectives) marked as primary. This is a lullaby/sleep song — CU#258 (naming emotions) or CU#209 (transition) would be more appropriate as primary for this song type.|Change CU#261 to secondary; promote CU#258 to primary if available, or add CU#258 as primary|medium
99|RATIONALE_WEAK|'The Baby Bear Waltz' mapped to CU#263 with a generic rationale that could apply to many songs. Rationale: 'Family songs naturally lead to discussions about how family members work together, share, and resolv...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
99|UNDERLINKED|'The Baby Bear Waltz' is a dance/gross motor song but missing CU#221 (Moving to rhythm and tempo) which is the most obvious curriculum connection.|Add CU#221 (Moving to rhythm and tempo) as primary mapping|medium
14|UNDERLINKED|'All around the Kitchen' is a cultural/folk song but appears to be missing CU#261 (Recognizing and respecting others' perspectives) which naturally connects to multicultural learning.|Add CU#261 (Recognizing and respecting others' perspectives) as secondary|low
151|UNDERLINKED|'Sweet Kentucky Babe' is a bedtime/lullaby song but missing CU#258 (Identifying and naming emotions) which is a natural fit for the comforting emotional content of lullabies.|Add CU#258 (Identifying and naming a range of emotions) as primary or secondary mapping|low
151|UNDERLINKED|'Sweet Kentucky Babe' is a bedtime/lullaby song but missing CU#209 (Transitioning between activities) which is a natural fit for using the song as a calm-down transition signal.|Consider adding CU#209 (Transitioning between activities/subjects) as secondary|low
170|UNDERLINKED|'With a Tick and a Tock / My Grandfather Clock' is family-themed but missing CU#258 (Identifying emotions) — family songs are ideal for discussing feelings of love and belonging.|Consider adding CU#258 (Identifying and naming a range of emotions) as primary or secondary|low
185|UNDERLINKED|'This is the way me father taught me' is family-themed but missing CU#258 (Identifying emotions) — family songs are ideal for discussing feelings of love and belonging.|Consider adding CU#258 (Identifying and naming a range of emotions) as primary or secondary|low
186|UNDERLINKED|'The Baby Bear Waltz' is family-themed but missing CU#258 (Identifying emotions) — family songs are ideal for discussing feelings of love and belonging.|Consider adding CU#258 (Identifying and naming a range of emotions) as primary or secondary|low
201|UNDERLINKED|'Baby Shark' is family-themed but missing CU#258 (Identifying emotions) — family songs are ideal for discussing feelings of love and belonging.|Consider adding CU#258 (Identifying and naming a range of emotions) as primary or secondary|low
209|UNDERLINKED|'Mama's Little Baby loves Shortenin' Bread' appears to be a counting/number song but missing math CUs (CU#11 Counting or CU#1 Addition/Subtraction).|Add CU#11 (Count to 50) or CU#1 (Addition & subtraction word problems) as appropriate|low
238|UNDERLINKED|'Mother and Father and Uncle John' is family-themed but missing CU#258 (Identifying emotions) — family songs are ideal for discussing feelings of love and belonging.|Consider adding CU#258 (Identifying and naming a range of emotions) as primary or secondary|low
241|UNDERLINKED|'With a Tick and a Tock / My Grandfather Clock' is family-themed but missing CU#258 (Identifying emotions) — family songs are ideal for discussing feelings of love and belonging.|Consider adding CU#258 (Identifying and naming a range of emotions) as primary or secondary|low
253|UNDERLINKED|'Babushka Baio' is family-themed but missing CU#258 (Identifying emotions) — family songs are ideal for discussing feelings of love and belonging.|Consider adding CU#258 (Identifying and naming a range of emotions) as primary or secondary|low
362|UNDERLINKED|'Clap When the Spirit Says Clap' is a cultural/folk song but appears to be missing CU#261 (Recognizing and respecting others' perspectives) which naturally connects to multicultural learning.|Add CU#261 (Recognizing and respecting others' perspectives) as secondary|low
430|UNDERLINKED|'Trot Trot to Grandma's House' is family-themed but missing CU#258 (Identifying emotions) — family songs are ideal for discussing feelings of love and belonging.|Consider adding CU#258 (Identifying and naming a range of emotions) as primary or secondary|low
496|UNDERLINKED|'Trot Trot to Grandma's House' is family-themed but missing CU#258 (Identifying emotions) — family songs are ideal for discussing feelings of love and belonging.|Consider adding CU#258 (Identifying and naming a range of emotions) as primary or secondary|low
526|UNDERLINKED|'Maman , Papa et Oncle Simon' is family-themed but missing CU#258 (Identifying emotions) — family songs are ideal for discussing feelings of love and belonging.|Consider adding CU#258 (Identifying and naming a range of emotions) as primary or secondary|low
68|UNDERLINKED|'Walk Daniel' is a cultural/folk song but appears to be missing CU#261 (Recognizing and respecting others' perspectives) which naturally connects to multicultural learning.|Add CU#261 (Recognizing and respecting others' perspectives) as secondary|low
75|UNDERLINKED|'Cousin Peter' is family-themed but missing CU#258 (Identifying emotions) — family songs are ideal for discussing feelings of love and belonging.|Consider adding CU#258 (Identifying and naming a range of emotions) as primary or secondary|low
99|UNDERLINKED|'The Baby Bear Waltz' is family-themed but missing CU#258 (Identifying emotions) — family songs are ideal for discussing feelings of love and belonging.|Consider adding CU#258 (Identifying and naming a range of emotions) as primary or secondary|low
